OG0000119	OG0000228	OG0000231	OG0000428	OG0000479	OG0000564	OG0000880	OG0000951	OG0001651	OG0001822	OG0002063	OG0002109	OG0002331	OG0002363	OG0002398	OG0002504	OG0003202	OG0003205	OG0003278	OG0003628	OG0003859	OG0003997	OG0004069	OG0004726	OG0005238	OG0005494	OG0006436	OG0006437	OG0006612	OG0006702	OG0006813	OG0006945	OG0006994	OG0007235	OG0007438	OG0007509	OG0007516	OG0007775	OG0007785	OG0008102	OG0008106	OG0008303	OG0008619	OG0008800	OG0008810	OG0008847	OG0009042	OG0009048	OG0009049	OG0009099	OG0009581	OG0009644	OG0009881	OG0009913	OG0009937	OG0009939	OG0010000	OG0010227	OG0010258	OG0010261	OG0010262	OG0010295	OG0010339	OG0010705	OG0010715	OG0010786	OG0010823	OG0010827	OG0010836	OG0011190	OG0011209	OG0011227	OG0011263	OG0011280	OG0011309	OG0011312	OG0011316	OG0011319	OG0011331	OG0011334	OG0011824	OG0011928	OG0011943	OG0011954	OG0011955	OG0011975	OG0011982	OG0011993	OG0012692	OG0012707	OG0012714	OG0012754	OG0012756	OG0012760	OG0012812	OG0012832	OG0012875	OG0012877	OG0012884	OG0013823	OG0013833	OG0013850	OG0013852	OG0013868	OG0013870	OG0013881	OG0013894	OG0013898	OG0013940	OG0013976	OG0013982	OG0013983	OG0014010	OG0014032	OG0014050	OG0014057	OG0014058	OG0014064	detection_suppression
5	2	1	0	1	0	0	0	1	1	0	1	0	2	1	0	0	0	2	3	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	3	13	7	7	6	10	8	3	2	8	5	0	3	3	11	3	3	2	3	1	11	1	1	6	1	1	22	2	7	2	2	1	1	1	1	3	5	1	2	1	2	7	5	4	3	1	3	1	1	2	1	1	3	2	2	0	1	1	1	4	1	1	4	2	1	1	1	1	1	1	1	2	2	2	2	1	1	3	1	1	2	2	2	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
9	1	6	5	6	6	4	5	1	1	7	0	1	0	3	2	2	1	1	1	2	3	1	5	0	0	1	3	3	2	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
24	7	18	7	20	4	15	6	4	4	7	4	2	1	2	7	3	2	1	2	1	6	1	4	2	1	1	1	8	7	2	1	4	1	1	1	4	2	5	2	2	8	5	3	3	2	2	2	3	2	2	4	1	4	2	3	2	2	3	1	1	5	1	1	0	2	1	1	1	1	1	2	2	1	2	2	1	1	1	0	2	1	2	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
12	2	7	1	2	2	9	6	3	1	1	1	0	1	1	4	2	0	0	0	1	2	1	2	4	0	1	0	0	1	0	0	2	0	0	0	2	1	3	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
29	9	13	6	11	4	15	4	5	7	8	4	3	1	4	6	4	5	1	0	1	6	1	4	0	2	1	1	6	5	1	1	3	1	1	1	5	5	4	4	1	6	1	3	3	1	3	3	3	4	2	1	1	1	4	3	2	2	2	1	1	2	2	1	4	1	3	1	1	1	1	3	2	1	2	1	2	2	1	0	2	3	1	2	0	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1
14	5	10	6	26	14	9	30	4	8	8	4	2	5	1	7	11	1	3	3	1	8	6	7	4	1	1	3	1	2	1	2	8	1	7	1	3	3	1	1	1	1	1	3	2	5	3	2	2	1	2	2	1	3	2	0	2	2	2	2	1	1	2	1	2	3	2	1	2	3	1	1	1	1	1	1	1	2	2	1	1	0	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
21	6	13	7	12	6	15	9	4	5	5	4	1	4	1	5	7	1	2	1	2	3	1	3	0	1	1	1	6	3	2	2	2	1	2	1	4	2	1	4	1	0	2	1	2	2	1	2	3	2	3	2	1	0	0	1	3	1	1	3	2	0	3	2	0	2	1	0	2	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1
37	5	14	12	22	9	13	9	2	5	11	4	1	1	2	8	14	1	1	1	1	5	9	15	9	1	7	1	5	3	1	1	7	1	2	1	2	1	6	4	11	0	1	1	2	1	1	2	2	4	1	2	1	1	2	1	1	2	1	2	2	0	2	1	1	1	2	0	3	3	1	1	1	2	1	2	2	0	1	0	1	1	1	1	4	0	1	1	0	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1
6	2	23	11	7	27	1	7	1	4	0	1	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
